protein_id	type	confidence	probability	e_value	score	hmm_model
sequence_332|prob_1.0000	Adaptation	Low	22.5	0.0056	15.5	cas14b
sequence_95|prob_1.0000	Adaptation	Low	32.4	0.00058	19.2	cas14u
sequence_64|prob_1.0000	Adaptation	Low	34.7	0.00034	19.9	cas14u
sequence_185|prob_1.0000	Unknown	High	100.0	1e-162	543.8	c2c1
sequence_919|prob_1.0000	Adaptation	Low	41.1	7.7e-05	22.1	cas14u
sequence_2091|prob_0.9999	Adaptation	High	100.0	3.3e-33	115.5	cas14u
sequence_5075|prob_0.9993	Adaptation	High	100.0	7.5e-50	170.3	cas14u
sequence_10185|prob_0.9890	Adaptation	High	100.0	2e-49	168.9	cas14u
sequence_7160|prob_0.9977	Unknown	Low	10.2	0.095	11.8	v_u3
sequence_14480|prob_0.9530	Adaptation	High	100.0	2.2e-50	172.1	cas14u
sequence_8675|prob_0.9946	Adaptation	Low	33.1	0.00049	19.4	cas14u
sequence_5190|prob_0.9993	Adaptation	High	100.0	3e-49	168.3	cas14u
sequence_1462|prob_0.9999	Adaptation	Low	8.2	0.15	10.8	cas14b
sequence_15127|prob_0.9442	Adaptation	High	100.0	3.1e-31	109.0	cas14u
sequence_3350|prob_0.9998	Unknown	High	100.0	7.6e-75	252.8	c2c1
sequence_292|prob_1.0000	Adaptation	Low	20.3	0.0094	15.2	cas14u
sequence_13738|prob_0.9619	Adaptation	High	100.0	1.3e-28	100.3	cas14u
sequence_119|prob_1.0000	Adaptation	Low	13.7	0.043	12.5	cas14b
sequence_229|prob_1.0000	Unknown	High	100.0	6e-97	326.0	c2c1
sequence_946|prob_0.9999	Unknown	High	100.0	1.9e-215	718.4	c2c1
sequence_525|prob_1.0000	Unknown	High	100.0	1.3e-227	758.7	c2c1
sequence_192|prob_1.0000	Unknown	High	100.0	3.2e-238	793.8	c2c1
sequence_8525|prob_0.9950	Unknown	High	100.0	7.7e-128	428.3	c2c1
sequence_191|prob_1.0000	Adaptation	Low	33.4	0.00046	19.5	cas14u
sequence_832|prob_1.0000	Unknown	High	100.0	2.7e-115	386.7	c2c1
sequence_7912|prob_0.9964	Adaptation	High	100.0	9.4e-47	160.1	cas14u
sequence_1863|prob_0.9999	Adaptation	Medium	56.6	2.2e-06	27.1	cas14u
sequence_2113|prob_0.9999	Unknown	High	100.0	0	1397.5	c2c1
sequence_7802|prob_0.9966	Adaptation	High	100.0	1.8e-35	123.0	cas14u
sequence_264|prob_1.0000	Adaptation	Low	24.9	0.0032	16.7	cas14u
sequence_10817|prob_0.9857	Adaptation	High	100.0	1.1e-18	67.7	cas14u
sequence_949|prob_0.9999	Adaptation	Low	30.5	0.00089	18.1	cas14b
sequence_3055|prob_0.9998	Adaptation	High	100.0	1.1e-30	107.2	cas14u
sequence_377|prob_1.0000	Adaptation	Low	34.7	0.00034	19.9	cas14u
sequence_145|prob_1.0000	Unknown	High	100.0	3e-265	883.3	c2c1
sequence_383|prob_1.0000	Adaptation	High	100.0	2.9e-33	115.7	cas14u
sequence_5341|prob_0.9992	Unknown	High	100.0	1.5e-75	255.1	c2c1
sequence_15530|prob_0.9381	Adaptation	High	100.0	2e-49	168.9	cas14u
sequence_8552|prob_0.9949	Adaptation	Medium	98.0	1.6e-10	40.8	cas14u
sequence_15143|prob_0.9440	Adaptation	High	100.0	3.8e-31	108.7	cas14u
sequence_301|prob_1.0000	Unknown	High	100.0	6.3e-80	269.6	c2c1
sequence_9167|prob_0.9930	Adaptation	High	100.0	1.6e-21	77.0	cas14u
sequence_10057|prob_0.9895	Adaptation	High	100.0	3.3e-13	49.6	cas14u
sequence_4505|prob_0.9995	Adaptation	High	100.0	3.4e-45	155.0	cas14u
sequence_1651|prob_0.9999	Adaptation	Low	24.9	0.0032	16.7	cas14u
sequence_7|prob_1.0000	Adaptation	Low	15.1	0.031	13.5	cas14u
sequence_364|prob_1.0000	Adaptation	High	100.0	0	1206.2	cas12a_m59
sequence_45|prob_1.0000	Adaptation	High	100.0	0	1214.1	cas12a_m59
sequence_58|prob_1.0000	Adaptation	High	100.0	7e-319	1060.8	cas12a_m59
sequence_22|prob_1.0000	Adaptation	High	100.0	0	1197.9	cas12a_m59
sequence_102|prob_1.0000	Adaptation	High	100.0	0	1196.1	cas12a_m59
sequence_15|prob_1.0000	Adaptation	High	100.0	0	1171.9	cas12a_m59
sequence_155|prob_1.0000	Adaptation	High	100.0	0	1180.5	cas12a_m59
sequence_46|prob_1.0000	Adaptation	High	100.0	0	1183.1	cas12a_m59
sequence_1069|prob_0.9999	Adaptation	High	100.0	0	1172.3	cas12a_m59
sequence_17861|prob_0.8915	Adaptation	High	100.0	0	1114.2	cas12a_m59
sequence_13|prob_1.0000	Adaptation	High	100.0	1.4e-309	1030.0	cas12a_m59
sequence_16|prob_1.0000	Adaptation	High	100.0	1.6e-314	1046.4	cas12a_m59
sequence_104|prob_1.0000	Adaptation	High	100.0	2.1e-308	1026.2	cas12a_m59
sequence_59|prob_1.0000	Adaptation	High	100.0	0	1089.1	cas12a_m59
sequence_408|prob_1.0000	Adaptation	High	100.0	0	1108.7	cas12a_m59
sequence_79|prob_1.0000	Adaptation	High	100.0	7.4e-289	961.4	cas12a_m59
